agency_name,agency_ref,county,program_type,date,adults,children,new_households,seniors,total_individuals
Adagio Health FP - Erie,01807,Erie,Food Pantry/No TEFAP,2025-06-30,3.0,0.0,0.0,0.0,3.0
Associated Charities - FP,01431,Crawford,Food Pantry/TEFAP,2024-07-31,231.0,146.0,195.0,116.0,493.0
Associated Charities - FP,01431,Crawford,Food Pantry/TEFAP,2024-08-31,254.0,153.0,63.0,135.0,542.0
Associated Charities - FP,01431,Crawford,Food Pantry/TEFAP,2024-09-30,269.0,180.0,35.0,131.0,580.0
Associated Charities - FP,01431,Crawford,Food Pantry/TEFAP,2024-10-31,299.0,172.0,38.0,143.0,614.0
Associated Charities - FP,01431,Crawford,Food Pantry/TEFAP,2024-11-30,361.0,243.0,44.0,156.0,760.0
Associated Charities - FP,01431,Crawford,Food Pantry/TEFAP,2024-12-31,280.0,190.0,15.0,140.0,610.0
Associated Charities - FP,01431,Crawford,Food Pantry/TEFAP,2025-01-31,271.0,172.0,20.0,135.0,578.0
Associated Charities - FP,01431,Crawford,Food Pantry/TEFAP,2025-02-28,235.0,150.0,10.0,129.0,514.0
Associated Charities - FP,01431,Crawford,Food Pantry/TEFAP,2025-03-31,212.0,128.0,13.0,143.0,483.0
Associated Charities - FP,01431,Crawford,Food Pantry/TEFAP,2025-04-30,299.0,139.0,32.0,149.0,588.0
Associated Charities - FP,01431,Crawford,Food Pantry/TEFAP,2025-05-31,256.0,158.0,21.0,158.0,572.0
Associated Charities - FP,01431,Crawford,Food Pantry/TEFAP,2025-06-30,275.0,164.0,23.0,150.0,589.0
BP - Asbury Elementary - SHBP,02087,Erie,BackPacks,2024-07-31,0.0,3.0,0.0,0.0,0.0
BP - Asbury Elementary - SHBP,02087,Erie,BackPacks,2024-08-31,0.0,3.0,0.0,0.0,0.0
BP - Asbury Elementary - SHBP,02087,Erie,BackPacks,2024-10-31,0.0,15.0,0.0,0.0,0.0
